монгол	16027	25755
монголын	12441	15759
оросын	7259	9185
америкийн	4823	6424
германы	4612	6089
өмнөд	4122	7511
францын	3703	5120
ардын	3433	5550
европын	3323	4394
бүгд	3008	4892
найрамдах	2833	3895
британийн	2827	3084
английн	2606	3709
алтан	2583	4996
улаанбаатар	2458	2951
хятадын	2437	3348
азийн	2413	2913
японы	2374	2980
солонгосын	2273	2496
зөвлөлтийн	2266	3065
монголчууд	2234	3256
италийн	1933	2729
хятад	1737	3035
герман	1658	2946
москва	1503	1680
польшийн	1433	1796
испанийн	1361	1961
зөвлөлт	1331	1620
энэтхэгийн	1315	1717
япон	1314	1855
ромын	1302	1772
хурлын	1268	2349
солонгос	1246	1562
жон	1229	1583
чингис	1189	1642
нобелийн	1139	1844
украины	1134	1364
канадын	1134	1360
умард	1133	2061
монголд	1125	1530
ази	1117	1291
ховд	1092	1328
москвагийн	1085	1258
академийн	1056	1735
австралийн	1035	1327
элчин	1034	1574
британи	1029	1074
дорнод	1027	1568
европ	1012	1318
ардчилсан	990	1791
ерөнхийлөгчийн	983	1900
богд	978	1387
америк	964	1349
сити	958	1036
америкчууд	916	1006
булган	891	1212
премьер	871	1146
африкийн	852	1035
коммунист	834	1365
хөвсгөл	813	1039
энэтхэг	807	1030
польш	795	1303
грекийн	790	1080
шведийн	787	994
юнайтед	771	776
өвөр	767	1124
александр	764	1101
завхан	758	950
чин	755	1342
австрийн	736	916
жорж	714	920
увс	692	911
итали	675	1050
лондон	671	782
халхын	669	1001
холбоот	668	749
нидерландын	658	938
архангай	646	919
сэлэнгэ	643	785
унгарын	639	793
гэгээн	613	1046
австрали	612	805
алтайн	602	770
парис	602	674
сүхбаатар	600	927
өвөрхангай	599	778
норвегийн	593	720
африк	592	729
гавьяаны	580	1115
манчестер	578	739
формула	574	702
хэнтий	569	676
номхон	561	727
израилын	557	661
владимир	549	708
николай	531	726
улаанбаатарын	530	603
оросууд	528	833
туркийн	527	740
бразилын	517	639
османы	511	635
атлантын	510	590
роберт	501	668
аваргуудын	499	611
вьетнамын	499	644
карл	498	686
москвад	497	533
мадрид	492	508
баянхонгор	491	599
христийн	491	724
казахстан	487	565
юань	486	627
манжийн	485	853
калифорни	479	526
канад	475	640
грек	474	943
украин	472	700
алтай	471	620
жеймс	468	603
вашингтон	462	550
арабын	459	615
парисын	450	547
ирландын	448	537
испани	442	860
шотландын	442	636
түшээт	440	554
зеландын	439	441
